composite_flux_indicator_id,name
1,Cambio total en ecosistema
2,Cambio total en biomasa
3,Cambio total en MOM
4,Productividad primaria neta (PPN)
5,Productividad neta del ecosistema (PNE)
6,Crecimiento neto
7,Hojarasca neta
8,Hojarasca total
9,Emisiones de descomposición
10,Explotación total (biomasa + árboles muertos)
11,Explotación total (biomasa)
12,Explotación total (árboles muertos)
13,Explotación de coníferas (biomasa)
14,Explotación de caducifolios (biomasa)
15,Explotación de coníferas (árboles muertos)
16,Explotación de caducifolios (árboles muertos)
17,Madera muerta
18,Hojarasca
19,C de suelo
20,MOM muy rápida superficial
21,MOM muy rápida subterránea
22,MOM rápida superficial
23,MOM rápida subterránea
24,MOM regular
25,MOM lenta superficial
26,MOM lenta subterránea
27,Troncos muertos de coníferas
28,Ramas  muertas de coníferas
29,Troncos muertos de caducifolios
30,Ramas  muertas de caducifolios
31,Total
32,Biomasa total
33,MOM total
34,CO2 total
35,CO total
36,CH4 total
37,CO2 bio
38,CO bio
39,CH4 bio
40,CO2 MOM
41,CO MOM
42,CH4 MOM
43,Pérdidas por perturbación
44,Bio a suelo de perturbaciones
45,Productividad de bioma neta (PBN)
