composite_flux_indicator_id,name
1,Delta écosystème total
2,Delta biomasse totale
3,Delta MOM totale
4,Productivité primaire nette (PPN)
5,Productivité écosystémique nette (PEN)
6,Croissance nette
7,Chute de litière nette
8,Chute de litière totale
9,Rejets de décomposition
10,Récolte totale (biomasse + chicots)
11,Récolte totale (biomasse)
12,Récolte totale (chicots)
13,Récolte de résineux (biomasse)
14,Récolte de feuillus (biomasse)
15,Récolte de résineux (chicots)
16,Récolte de feuillus (chicots)
17,Bois mort
18,Litière
19,C du sol
20,MOM aérienne très rapide
21,MOM souterraine très rapide
22,MOM aérienne rapide
23,MOM souterraine rapide
24,MOM médium
25,MOM aérienne lente
26,MOM souterraine lente
27,Chicot de tige de résineux
28,Chicot de branche de résineux
29,Chicot de tige de feuillu
30,Chicot de branche de feuillu
31,Totales
32,Biomasse totale
33,MOM totale
34,CO2 total
35,CO total
36,CH4 total
37,CO2 bio
38,CO bio
39,CH4 bio
40,CO2 MOM
41,CO MOM
42,CH4 MOM
43,Pertes dues aux perturbations
44,Bio à sol dû aux perturbations
45,Productivité du biome nette (PBN)
