composite_flux_indicator_id,name
1,Całkowita zmiana ekosystemu
2,Zmiana całkowitej biomasy
3,"Zmiana całkowitej, rozpuszczonej martwej materii organicznej (DOM)"
4,Produkcja podstawowa netto (NPP)
5,Produkcyjność ekosystemu netto (NEP)
6,Wzrost netto
7,Opad listowia netto
8,Całkowity opad listowia
9,Emisje rozkładu
10,Całkowite pozyskanie (biomasa + posusz)
11,Całkowite pozyskanie (biomasa)
12,Całkowite pozyskanie (posusz)
13,Pozyskanie iglastych (biomasa)
14,Pozyskanie liściastych (biomasa)
15,Pozyskanie iglastych (posusz)
16,Pozyskanie liściastych (posusz)
17,Martwe drewno
18,Ściółka
19,Węgiel w glebie
20,"Nadziemna, bardzo szybko rozpuszczona martwa materia organiczna"
21,"Podziemna, bardzo szybko rozpuszczona martwa materia organiczna"
22,"Nadziemna, szybko rozpuszczona martwa materia organiczna (DOM)"
23,"Podziemna, szybko rozpuszczona martwa materia organiczna (DOM)"
24,Średnio rozpuszczona martwa materia organiczna
25,"Nadziemna, wolno rozpuszczona martwa materia organiczna (DOM)"
26,"Podziemna, wolno rozpuszczona martwa materia organiczna (DOM)"
27,Iglaste posusz pnie
28,Iglaste posusz gałęzie
29,Liściaste posusz pnie
30,Liściaste posusz gałęzie
31,Całkowity
32,Całkowita biomasa
33,Całkowita rozpuszczona martwa materia organiczna (DOM)
34,Całkowity CO2
35,Całkowity CO
36,Całkowity CH4
37,Bio CO2
38,Bio CO
39,Bio CH4
40,CO2 rozpuszczonej martwej materii organicznej (DOM)
41,CO rozpuszczonej martwej materii organicznej (DOM)
42,CH4 rozpuszczonej martwej materii organicznej (DOM)
43,Straty związane z zakłóceniem
44,Zaburzenia przez biomasę do gleby
45,Produkcja biomu netto (NBP)
