composite_flux_indicator_id,name
1,Дельта всей экосистемы
2,Дельта общей биомассы
3,Дельта общего МОВ
4,Чистая первичная продуктивность (ЧПП)
5,Чистая продуктивность экосистемы (ЧПЭ)
6,Чистый рост
7,Чистый опад
8,Всего опада
9,Выбросы от разложения
10,Общий урожай (биомасса + валеж)
11,Общий урожай (биомасса)
12,Общий урожай (валеж)
13,Урожай хвойных (биомасса)
14,Урожай лиственных (биомасса)
15,Урожай хвойных (валеж)
16,Урожай лиственных (валеж)
17,Сухостой
18,Опад
19,Почвенный C
20,Надземное очень быстро разлагающееся МОВ
21,Подземное очень быстро разлагающееся МОВ
22,Надземное быстро разлагающееся МОВ
23,Подземное быстро разлагающееся МОВ
24,МОВ со средней скоростью разложения
25,Надземное медленно разлагающееся МОВ
26,Подземное медленно разлагающееся МОВ
27,Валеж хвойных пород
28,Валеж ветвей хвойных
29,Валеж лиственных пород:
30,Валеж ветвей лиственных
31,Всего
32,Всего биомассы
33,Всего МОВ
34,Всего CO2
35,Всего CO
36,Всего CH4
37,Био CO2
38,Био CO
39,Био CH4
40,МОВ CO2
41,МОВ CO
42,МОВ CH4
43,Ущербы нарушения
44,Био в почву через нарушения
45,Чистая продуктивность биома (ЧПБ)
