id,composite_flux_indicator_id,flux_indicator_id,multiplier
1,1,11,1
2,1,13,1
3,1,14,1
4,1,15,1
5,1,12,1
6,1,16,1
7,1,17,1
8,1,7,-1
9,1,4,-1
10,1,5,-1
11,1,6,-1
12,1,34,-1
13,1,35,-1
14,1,36,-1
15,1,8,-1
16,1,9,-1
17,1,10,-1
18,2,11,1
19,2,13,1
20,2,14,1
21,2,15,1
22,2,12,1
23,2,16,1
24,2,17,1
25,2,4,-1
26,2,5,-1
27,2,6,-1
28,2,8,-1
29,2,9,-1
30,2,37,-1
31,2,38,-1
32,2,39,-1
33,2,40,-1
34,2,41,-1
35,3,13,1
36,3,14,1
37,3,15,1
38,3,16,1
39,3,17,1
40,3,7,-1
41,3,34,-1
42,3,35,-1
43,3,36,-1
44,3,10,-1
45,3,37,-1
46,3,38,-1
47,3,39,-1
48,3,40,-1
49,3,41,-1
50,4,11,1
51,4,13,1
52,4,14,1
53,4,15,1
54,4,12,1
55,4,16,1
56,4,17,1
57,5,11,1
58,5,13,1
59,5,14,1
60,5,15,1
61,5,12,1
62,5,16,1
63,5,17,1
64,5,7,-1
65,6,11,1
66,6,12,1
67,7,13,1
68,7,14,1
69,7,15,1
70,7,16,1
71,7,17,1
72,7,7,-1
73,8,13,1
74,8,14,1
75,8,15,1
76,8,16,1
77,8,17,1
78,9,18,1
79,9,19,1
80,9,20,1
81,9,21,1
82,9,22,1
83,9,23,1
84,9,24,1
85,9,25,1
86,9,26,1
87,9,27,1
88,9,28,1
89,10,8,1
90,10,9,1
91,10,10,1
92,11,8,1
93,11,9,1
94,12,10,1
95,13,8,1
96,14,9,1
97,17,20,1
98,17,21,1
99,17,22,1
100,17,25,1
101,17,26,1
102,17,27,1
103,17,28,1
104,17,44,1
105,17,45,1
106,17,46,1
107,17,49,1
108,17,50,1
109,17,51,1
110,17,52,1
111,18,18,1
112,18,23,1
113,18,42,1
114,18,47,1
115,18,44,1
116,18,20,1
117,19,19,1
118,19,24,1
119,20,18,1
120,20,42,1
121,21,19,1
122,21,43,1
123,22,20,1
124,22,44,1
125,23,21,1
126,23,45,1
127,24,22,1
128,24,46,1
129,25,23,1
130,25,47,1
131,26,24,1
132,26,48,1
133,27,25,1
134,27,49,1
135,28,26,1
136,28,50,1
137,29,27,1
138,29,51,1
139,30,28,1
140,30,52,1
141,31,7,1
142,31,4,1
143,31,5,1
144,31,6,1
145,31,34,1
146,31,35,1
147,31,36,1
148,32,4,1
149,32,5,1
150,32,6,1
151,33,7,1
152,33,34,1
153,33,35,1
154,33,36,1
155,34,7,1
156,34,4,1
157,34,34,1
158,35,6,1
159,35,36,1
160,36,5,1
161,36,35,1
162,37,4,1
163,38,6,1
164,39,5,1
165,40,7,1
166,40,34,1
167,41,36,1
168,42,35,1
169,43,7,1
170,43,4,1
171,43,5,1
172,43,6,1
173,43,34,1
174,43,35,1
175,43,36,1
176,43,8,1
177,43,9,1
178,43,10,1
179,44,37,1
180,44,38,1
181,44,39,1
182,44,40,1
183,44,41,1
184,45,11,1
185,45,13,1
186,45,14,1
187,45,15,1
188,45,12,1
189,45,16,1
190,45,17,1
191,45,7,-1
192,45,4,-1
193,45,5,-1
194,45,6,-1
195,45,34,-1
196,45,35,-1
197,45,36,-1
198,45,8,-1
199,45,9,-1
200,45,10,-1
