id,code,transitional_period,transition_id,is_forest,is_simulated,land_type_id_1,land_type_id_2
0,UNFCCC_FL_R_FL,-1,-1,TRUE,TRUE,1,1
1,UNFCCC_CL_R_CL,-1,-1,FALSE,TRUE,3,3
2,UNFCCC_GL_R_GL,-1,-1,FALSE,TRUE,4,4
3,UNFCCC_WL_R_WL,-1,-1,FALSE,TRUE,5,5
4,UNFCCC_SL_R_SL,-1,-1,FALSE,TRUE,7,7
5,UNFCCC_OL_R_OL,-1,-1,FALSE,TRUE,8,8
6,UNFCCC_CL_R_FL,20,0,TRUE,TRUE,3,1
7,UNFCCC_GL_R_FL,20,0,TRUE,TRUE,4,1
8,UNFCCC_WL_R_FL,10,0,TRUE,TRUE,5,1
9,UNFCCC_SL_R_FL,20,0,TRUE,TRUE,7,1
10,UNFCCC_OL_R_FL,20,0,TRUE,TRUE,8,1
11,UNFCCC_FL_R_CL,20,1,FALSE,TRUE,1,3
12,UNFCCC_FL_R_GL,20,2,FALSE,TRUE,1,4
13,UNFCCC_FL_R_WL,10,3,FALSE,TRUE,1,5
14,UNFCCC_FL_R_SL,20,4,FALSE,TRUE,1,7
15,UNFCCC_FL_R_OL,20,5,FALSE,TRUE,1,8
16,UNFCCC_UFL,-1,-1,TRUE,TRUE,2,2
17,UNFCCC_UFL_R_CL,20,1,FALSE,TRUE,2,3
18,UNFCCC_UFL_R_GL,20,2,FALSE,TRUE,2,4
19,UNFCCC_UFL_R_WL,10,3,FALSE,TRUE,2,5
20,UNFCCC_UFL_R_SL,20,4,FALSE,TRUE,2,7
21,UNFCCC_UFL_R_OL,20,5,FALSE,TRUE,2,8
22,UNFCCC_UFL_R_FL,20,0,TRUE,TRUE,2,1
23,UNFCCC_WLP_R_WLP,-1,-1,FALSE,FALSE,6,6
24,UNFCCC_WLP_R_FL,20,0,TRUE,TRUE,6,1
25,UNFCCC_FL_R_WLP,20,23,FALSE,TRUE,1,6
26,UNFCCC_UFL_R_WLP,20,23,FALSE,TRUE,2,6
