landclass_id,description
0,Terres forestières dont la vocation n'a pas changé
1,Terres cultivées dont la vocation n'a pas changé
2,Prairies dont la vocation n'a pas changé
3,Terres humides dont la vocation n'a pas changé
4,Zones de peuplement dont la vocation n'a pas changé
5,Autres terres dont la vocation n'a pas changé
6,Terres cultivées converties en forêt
7,Prairies converties en forêt
8,Terres humides converties en forêt
9,Zones de peuplement converties en forêt
10,Autres terres converties en forêt
11,Forêt convertie en terres cultivées
12,Forêt convertie en prairies
13,Forêt convertie en terres humides
14,Forêt convertie en zones de peuplement
15,Forêt convertie à d'autres utilisations
16,Forêt non aménagée
17,Forêt non aménagée convertie en terres cultivées
18,Forêt non aménagée convertie en prairies
19,Forêt non aménagée convertie en terres humides
20,Forêt non aménagée convertie en zones de peuplement
21,Forêt non aménagée convertie à d'autres utilisations
22,Forêt non aménagée convertie en forêt aménagée
23,Terres humides dont la vocation n'a pas changé
24,Terres humides converties en forêt
25,Forêt convertie en terres humides
26,Forêt non aménagée convertie en terres humides
