id,pool_indicator_id,pool_id
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,1
23,22,2
24,22,3
25,22,6
26,22,7
27,22,8
28,23,4
29,23,5
30,23,9
31,23,10
32,24,11
33,24,13
34,24,15
35,24,16
36,24,18
37,24,19
38,24,20
39,24,21
40,25,12
41,25,14
42,25,17
43,26,1
44,26,2
45,26,3
46,26,4
47,26,5
48,26,6
49,26,7
50,26,8
51,26,9
52,26,10
53,26,11
54,26,12
55,26,13
56,26,14
57,26,15
58,26,16
59,26,17
60,26,18
61,26,19
62,26,20
63,26,21
64,27,11
65,27,13
66,27,16
67,28,14
68,28,15
69,28,18
70,28,19
71,28,20
72,28,21
73,29,12
74,29,17
75,30,11
76,30,12
77,30,13
78,30,14
79,30,15
80,30,16
81,30,17
82,30,18
83,30,19
84,30,20
85,30,21
