id,composite_flux_indicator_category_id,locale_id,category_name,subcategory_name
1,1,1,Stock Changes,Total
2,2,1,Stock Changes,Biomass Totals
3,3,1,Stock Changes,DOM Totals
4,4,1,Ecosystem Indicators,Productivity
5,5,1,Ecosystem Indicators,Ecosystem Indicators
6,6,1,Ecosystem Transfers,Ecosystem to Forest Products
7,7,1,Ecosystem Transfers,Release to Atmostphere
8,8,1,Emissions,Emissions By Source
9,9,1,Emissions,Emissions By Gas
10,10,1,Emissions,Biomass Emissions By Gas
11,11,1,Emissions,DOM Emissions By Gas
12,12,1,Disturbance Transfers,Disturbance Transfers
13,1,2,Changements aux réservoirs,Totales
14,2,2,Changements aux réservoirs,Totaux de la biomasse
15,3,2,Changements aux réservoirs,Totaux MOM
16,4,2,Indicateurs d'écosystème,Productivité
17,5,2,Indicateurs d'écosystème,Indicateurs d'écosystème
18,6,2,Transferts d'écosystème,Écosystème à produits forestiers
19,7,2,Transferts d'écosystème,Émission à l'atmosphère
20,8,2,Émissions,Émissions par source
21,9,2,Émissions,Émissions par gaz
22,10,2,Émissions,Émissions de la biomasse par gaz
23,11,2,Émissions,Émissions MOM par gaz
24,12,2,Transferts issus des perturbation,Transferts issus des perturbation
25,1,4,Изменения запаса,Всего
26,2,4,Изменения запаса,Общая биомасса
27,3,4,Изменения запаса,Всего МОВ
28,4,4,Экосистемные индикаторы,Продуктивность
29,5,4,Экосистемные индикаторы,Экосистемные индикаторы
30,6,4,Передачи в экосистеме,Экосистема в лесные-продукты
31,7,4,Передачи в экосистеме,Высвобождается в атмосферу
32,8,4,Эмиссии,Эмиссии источников
33,9,4,Эмиссии,Эмиссии газов
34,10,4,Эмиссии,Газовые эмиссии биомассы
35,11,4,Эмиссии,МОВ эмиссия в газе
36,12,4,Передача нарушения,Передача нарушения
37,1,3,Cambios en los reservorios,Total
38,2,3,Cambios en los reservorios,Totales de biomasa
39,3,3,Cambios en los reservorios,Totales de MOM
40,4,3,Indicadores de ecosistema,Productividad
41,5,3,Indicadores de ecosistema,Indicadores de ecosistema
42,6,3,Transferencias de ecosistema,Del Ecosistema a productos forestales
43,7,3,Transferencias de ecosistema,Liberar a la atmósfera
44,8,3,Emisiones,Emisiones por fuente
45,9,3,Emisiones,Emisiones por gas
46,10,3,Emisiones,Emisiones de biomasa por gas
47,11,3,Emisiones,Emisiones de MOM por gas
48,12,3,Transferencias de perturbaciones,Transferencias de perturbaciones
49,1,5,Zmiany zasobów,Całkowity
50,2,5,Zmiany zasobów,Podsumowanie biomasy do produktów leśnych
51,3,5,Zmiany zasobów,Podsumowanie rozpuszczonej martwej materii organicznej (DOM)
52,4,5,Wskaźniki ekosystemowe,Produktywność
53,5,5,Wskaźniki ekosystemowe,Wskaźniki ekosystemu
54,6,5,Transfery ekosystemowe,Ekosystem do produktów leśnych
55,7,5,Transfery ekosystemowe,Uwolnione do atmosfery
56,8,5,Emisje,Emisje według źródła
57,9,5,Emisje,Emisje według gazu
58,10,5,Emisje,Emisje biomasy według gazu
59,11,5,Emisje,Emisje rozpuszczonej martwej materii organicznej (DOM) według gazu
60,12,5,Transfery zakłóceń,Transfery zakłóceń
