id,composite_flux_indicator_id,flux_indicator_id,multiplier
1,1,11,1
2,1,13,-1
3,1,14,-1
4,1,15,-1
5,1,12,1
6,1,16,-1
7,1,17,-1
8,1,4,-1
9,1,5,-1
10,1,6,-1
11,1,34,-1
12,1,35,-1
13,1,36,-1
14,1,8,-1
15,1,9,-1
16,1,10,-1
17,2,11,1
18,2,13,-1
19,2,14,-1
20,2,15,-1
21,2,12,1
22,2,16,-1
23,2,17,-1
24,2,4,-1
25,2,5,-1
26,2,6,-1
27,2,8,-1
28,2,9,-1
29,2,37,-1
30,2,38,-1
31,2,39,-1
32,2,40,-1
33,2,41,-1
34,3,11,1
35,3,13,-1
36,3,14,-1
37,3,15,-1
38,3,12,1
39,3,16,-1
40,3,17,-1
41,3,7,-1
42,3,34,-1
43,3,35,-1
44,3,36,-1
45,3,10,-1
46,3,37,-1
47,3,38,-1
48,3,39,-1
49,3,40,-1
50,3,41,-1
51,4,11,1
52,4,13,-1
53,4,14,-1
54,4,15,-1
55,4,12,1
56,4,16,-1
57,4,17,-1
58,5,11,1
59,5,13,-1
60,5,14,-1
61,5,15,-1
62,5,12,1
63,5,16,-1
64,5,17,-1
65,5,7,-1
66,5,34,-1
67,5,35,-1
68,5,36,-1
69,6,11,1
70,6,12,1
71,7,13,1
72,7,14,1
73,7,15,1
74,7,16,1
75,7,17,1
76,7,7,-1
77,8,13,1
78,8,14,1
79,8,15,1
80,8,16,1
81,8,17,1
82,9,18,1
83,9,19,1
84,9,20,1
85,9,21,1
86,9,22,1
87,9,23,1
88,9,24,1
89,9,25,1
90,9,26,1
91,9,27,1
92,9,28,1
93,10,8,1
94,10,9,1
95,10,10,1
96,11,8,1
97,11,9,1
98,12,10,1
99,13,8,1
100,14,9,1
101,17,20,1
102,17,21,1
103,17,22,1
104,17,25,1
105,17,26,1
106,17,27,1
107,17,28,1
108,17,44,1
109,17,45,1
110,17,46,1
111,17,49,1
112,17,50,1
113,17,51,1
114,17,52,1
115,18,18,1
116,18,23,1
117,18,42,1
118,18,47,1
119,19,19,1
120,19,24,1
121,20,18,1
122,20,42,1
123,21,19,1
124,21,43,1
125,22,20,1
126,22,44,1
127,23,21,1
128,23,45,1
129,24,22,1
130,24,46,1
131,25,23,1
132,25,47,1
133,26,24,1
134,26,48,1
135,27,25,1
136,27,49,1
137,28,26,1
138,28,50,1
139,29,27,1
140,29,51,1
141,30,28,1
142,30,52,1
143,31,7,1
144,31,4,1
145,31,5,1
146,31,6,1
147,31,34,1
148,31,35,1
149,31,36,1
150,32,4,1
151,32,5,1
152,32,6,1
153,33,7,1
154,33,34,1
155,33,35,1
156,33,36,1
157,34,7,1
158,34,4,1
159,34,34,1
160,35,6,1
161,35,36,1
162,36,5,1
163,36,35,1
164,37,4,1
165,38,6,1
166,39,5,1
167,40,7,1
168,40,34,1
169,41,36,1
170,42,35,1
171,43,7,1
172,43,4,1
173,43,5,1
174,43,6,1
175,43,34,1
176,43,35,1
177,43,36,1
178,43,8,1
179,43,9,1
180,43,10,1
181,44,37,1
182,44,38,1
183,44,39,1
184,44,40,1
185,44,41,1
186,45,11,1
187,45,13,-1
188,45,14,-1
189,45,15,-1
190,45,12,1
191,45,16,-1
192,45,17,-1
193,45,7,-1
194,45,4,-1
195,45,5,-1
196,45,6,-1
197,45,34,-1
198,45,35,-1
199,45,36,-1
200,45,8,-1
201,45,9,-1
202,45,10,-1
