id,name
1,DisturbanceCO2Production
2,DisturbanceCH4Production
3,DisturbanceCOProduction
4,DisturbanceBioCO2Emission
5,DisturbanceBioCH4Emission
6,DisturbanceBioCOEmission
7,DisturbanceDOMCO2Emission
8,DisturbanceDOMCH4Emssion
9,DisturbanceDOMCOEmission
10,DecayDOMCO2Emission
11,SoftProduction
12,HardProduction
13,SoftDomProduction
14,HardDomProduction
15,DeltaBiomass_AG
16,DeltaBiomass_BG
17,DisturbanceBiomassToSoil
18,SoftwoodMerchTurnover
19,HardwoodMerchTurnover
20,SoftwoodFoliageTurnover
21,HardwoodFoliageTurnover
22,SoftwoodOtherTurnover
23,HardwoodOtherTurnover
24,SoftwoodCoarseRootTurnover
25,HardwoodCoarseRootTurnover
26,SoftwoodFineRootTurnover
27,HardwoodFineRootTurnover
28,DecayVFastAGToAir
29,DecayVFastBGToAir
30,DecayFastAGToAir
31,DecayFastBGToAir
32,DecayMediumToAir
33,DecaySlowAGToAir
34,DecaySlowBGToAir
35,DecaySWStemSnagToAir
36,DecaySWBranchSnagToAir
37,DecayHWStemSnagToAir
38,DecayHWBranchSnagToAir
39,DisturbanceVFastAGToAir
40,DisturbanceVFastBGToAir
41,DisturbanceFastAGToAir
42,DisturbanceFastBGToAir
43,DisturbanceMediumToAir
44,DisturbanceSlowAGToAir
45,DisturbanceSlowBGToAir
46,DisturbanceSWStemSnagToAir
47,DisturbanceSWBranchSnagToAir
48,DisturbanceHWStemSnagToAir
49,DisturbanceHWBranchSnagToAir
50,GrossGrowth_AG
51,GrossGrowth_BG
