id,flux_indicator_category_id,locale_id,category_name,subcategory_name
1,1,1,Stock Changes,Total
2,2,1,Stock Changes,Biomass Totals
3,3,1,Stock Changes,DOM Totals
4,4,1,Ecosystem Indicators,Productivity
5,6,1,Ecosystem Indicators,Ecosystem Indicators
6,7,1,Ecosystem Indicators,Ecosystem to Forest Products
7,8,1,Ecosystem Indicators,Release to Atmostphere
8,9,1,Emissions,Emissions By Source
9,10,1,Emissions,Emissions By Gas
10,11,1,Emissions,Biomass Emissions By Gas
11,12,1,Emissions,DOM Emissions By Gas
12,13,1,Disturbance Transfers,Disturbance Transfers
13,1,2,Changements aux réservoirs,Totales
14,2,2,Changements aux réservoirs,Totaux de la biomasse
15,3,2,Changements aux réservoirs,Totaux MOM
16,4,2,Indicateurs d'écosystème,Productivité
17,6,2,Indicateurs d'écosystème,Indicateurs d'écosystème
18,7,2,Indicateurs d'écosystème,Écosystème à produits forestiers
19,8,2,Indicateurs d'écosystème,Émission à l'atmosphère
20,9,2,Émissions,Émissions par source
21,10,2,Émissions,Émissions par gaz
22,11,2,Émissions,Émissions de la biomasse par gaz
23,12,2,Émissions,Émissions MOM par gaz
24,13,2,Transferts issus des perturbation,Transferts issus des perturbation
25,1,4,Изменения запаса,Всего
26,2,4,Изменения запаса,Общая биомасса
27,3,4,Изменения запаса,Всего МОВ
28,4,4,Экосистемные индикаторы,Продуктивность
29,6,4,Экосистемные индикаторы,Экосистемные индикаторы
30,7,4,Экосистемные индикаторы,Экосистема в лесные-продукты
31,8,4,Экосистемные индикаторы,Высвобождается в атмосферу
32,9,4,Эмиссии,Эмиссии источников
33,10,4,Эмиссии,Эмиссии газов
34,11,4,Эмиссии,Газовые эмиссии биомассы
35,12,4,Эмиссии,МОВ эмиссия в газе
36,13,4,Передача нарушения,Передача нарушения
37,1,3,Cambios en los reservorios,Total
38,2,3,Cambios en los reservorios,Totales de biomasa
39,3,3,Cambios en los reservorios,Totales de MOM
40,4,3,Indicadores de ecosistema,Productividad
41,6,3,Indicadores de ecosistema,Indicadores de ecosistema
42,7,3,Indicadores de ecosistema,Del Ecosistema a productos forestales
43,8,3,Indicadores de ecosistema,Liberar a la atmósfera
44,9,3,Emisiones,Emisiones por fuente
45,10,3,Emisiones,Emisiones por gas
46,11,3,Emisiones,Emisiones de biomasa por gas
47,12,3,Emisiones,Emisiones de MOM por gas
48,13,3,Transferencias de perturbaciones,Transferencias de perturbaciones
49,1,5,Zmiany zasobów,Całkowity
50,2,5,Zmiany zasobów,Podsumowanie biomasy do produktów leśnych
51,3,5,Zmiany zasobów,Podsumowanie rozpuszczonej martwej materii organicznej (DOM)
52,4,5,Wskaźniki ekosystemowe,Produktywność
53,6,5,Wskaźniki ekosystemowe,Wskaźniki ekosystemu
54,7,5,Wskaźniki ekosystemowe,Ekosystem do produktów leśnych
55,8,5,Wskaźniki ekosystemowe,Uwolnione do atmosfery
56,9,5,Emisje,Emisje według źródła
57,10,5,Emisje,Emisje według gazu
58,11,5,Emisje,Emisje biomasy według gazu
59,12,5,Emisje,Emisje rozpuszczonej martwej materii organicznej (DOM) według gazu
60,13,5,Transfery zakłóceń,Transfery zakłóceń
