id,flux_indicator_id,pool_id
1,1,22
2,2,23
3,3,24
4,4,22
5,5,23
6,6,24
7,7,22
8,8,26
9,9,26
10,10,26
11,11,1
12,11,2
13,11,3
14,11,6
15,11,7
16,11,8
17,12,4
18,12,5
19,12,9
20,12,10
21,13,18
22,13,20
23,14,11
24,15,13
25,15,19
26,15,21
27,16,13
28,16,14
29,17,11
30,17,12
31,18,22
32,18,23
33,18,24
34,18,25
35,19,22
36,19,23
37,19,24
38,19,25
39,20,22
40,20,23
41,20,24
42,20,25
43,21,22
44,21,23
45,21,24
46,21,25
47,22,22
48,22,23
49,22,24
50,22,25
51,23,22
52,23,23
53,23,24
54,23,25
55,24,22
56,24,23
57,24,24
58,24,25
59,25,22
60,25,23
61,25,24
62,25,25
63,26,22
64,26,23
65,26,24
66,26,25
67,27,22
68,27,23
69,27,24
70,27,25
71,28,22
72,28,23
73,28,24
74,28,25
75,29,22
76,29,23
77,29,24
78,29,25
79,30,22
80,30,23
81,30,24
82,30,25
83,31,22
84,31,23
85,31,24
86,31,25
87,32,22
88,32,23
89,32,24
90,32,25
91,33,22
92,33,23
93,33,24
94,33,25
95,34,22
96,35,23
97,36,24
98,37,15
99,37,16
100,37,18
101,37,20
102,38,11
103,38,12
104,39,13
105,39,14
106,39,19
107,39,21
108,40,13
109,40,14
110,41,11
111,41,12
112,41,13
113,41,14
114,42,22
115,42,23
116,42,24
117,42,25
118,43,22
119,43,23
120,43,24
121,43,25
122,44,22
123,44,23
124,44,24
125,44,25
126,45,22
127,45,23
128,45,24
129,45,25
130,46,22
131,46,23
132,46,24
133,46,25
134,47,22
135,47,23
136,47,24
137,47,25
138,48,22
139,48,23
140,48,24
141,48,25
142,49,22
143,49,23
144,49,24
145,49,25
146,50,22
147,50,23
148,50,24
149,50,25
150,51,22
151,51,23
152,51,24
153,51,25
154,52,22
155,52,23
156,52,24
157,52,25
