flux_indicator_id,flux_indicator_name,pool_id,pool_name
1,DisturbanceCO2Production,1,SoftwoodMerch
1,DisturbanceCO2Production,2,SoftwoodFoliage
1,DisturbanceCO2Production,3,SoftwoodOther
1,DisturbanceCO2Production,4,SoftwoodCoarseRoots
1,DisturbanceCO2Production,5,SoftwoodFineRoots
1,DisturbanceCO2Production,6,HardwoodMerch
1,DisturbanceCO2Production,7,HardwoodFoliage
1,DisturbanceCO2Production,8,HardwoodOther
1,DisturbanceCO2Production,9,HardwoodCoarseRoots
1,DisturbanceCO2Production,10,HardwoodFineRoots
1,DisturbanceCO2Production,11,AboveGroundVeryFastSoil
1,DisturbanceCO2Production,12,BelowGroundVeryFastSoil
1,DisturbanceCO2Production,13,AboveGroundFastSoil
1,DisturbanceCO2Production,14,BelowGroundFastSoil
1,DisturbanceCO2Production,15,MediumSoil
1,DisturbanceCO2Production,16,AboveGroundSlowSoil
1,DisturbanceCO2Production,17,BelowGroundSlowSoil
1,DisturbanceCO2Production,18,SoftwoodStemSnag
1,DisturbanceCO2Production,19,SoftwoodBranchSnag
1,DisturbanceCO2Production,20,HardwoodStemSnag
1,DisturbanceCO2Production,21,HardwoodBranchSnag
2,DisturbanceCH4Production,1,SoftwoodMerch
2,DisturbanceCH4Production,2,SoftwoodFoliage
2,DisturbanceCH4Production,3,SoftwoodOther
2,DisturbanceCH4Production,4,SoftwoodCoarseRoots
2,DisturbanceCH4Production,5,SoftwoodFineRoots
2,DisturbanceCH4Production,6,HardwoodMerch
2,DisturbanceCH4Production,7,HardwoodFoliage
2,DisturbanceCH4Production,8,HardwoodOther
2,DisturbanceCH4Production,9,HardwoodCoarseRoots
2,DisturbanceCH4Production,10,HardwoodFineRoots
2,DisturbanceCH4Production,11,AboveGroundVeryFastSoil
2,DisturbanceCH4Production,12,BelowGroundVeryFastSoil
2,DisturbanceCH4Production,13,AboveGroundFastSoil
2,DisturbanceCH4Production,14,BelowGroundFastSoil
2,DisturbanceCH4Production,15,MediumSoil
2,DisturbanceCH4Production,16,AboveGroundSlowSoil
2,DisturbanceCH4Production,17,BelowGroundSlowSoil
2,DisturbanceCH4Production,18,SoftwoodStemSnag
2,DisturbanceCH4Production,19,SoftwoodBranchSnag
2,DisturbanceCH4Production,20,HardwoodStemSnag
2,DisturbanceCH4Production,21,HardwoodBranchSnag
3,DisturbanceCOProduction,1,SoftwoodMerch
3,DisturbanceCOProduction,2,SoftwoodFoliage
3,DisturbanceCOProduction,3,SoftwoodOther
3,DisturbanceCOProduction,4,SoftwoodCoarseRoots
3,DisturbanceCOProduction,5,SoftwoodFineRoots
3,DisturbanceCOProduction,6,HardwoodMerch
3,DisturbanceCOProduction,7,HardwoodFoliage
3,DisturbanceCOProduction,8,HardwoodOther
3,DisturbanceCOProduction,9,HardwoodCoarseRoots
3,DisturbanceCOProduction,10,HardwoodFineRoots
3,DisturbanceCOProduction,11,AboveGroundVeryFastSoil
3,DisturbanceCOProduction,12,BelowGroundVeryFastSoil
3,DisturbanceCOProduction,13,AboveGroundFastSoil
