id,code,transitional_period,transition_id,is_forest,is_simulated
1,UNFCCC_FL_R_FL,-1,-1,TRUE,TRUE
2,UNFCCC_CL_R_CL,-1,-1,FALSE,FALSE
3,UNFCCC_GL_R_GL,-1,-1,FALSE,FALSE
4,UNFCCC_WL_R_WL,-1,-1,FALSE,FALSE
5,UNFCCC_SL_R_SL,-1,-1,FALSE,FALSE
6,UNFCCC_OL_R_OL,-1,-1,FALSE,FALSE
7,UNFCCC_CL_R_FL,20,1,TRUE,TRUE
8,UNFCCC_GL_R_FL,20,1,TRUE,TRUE
9,UNFCCC_WL_R_FL,10,1,TRUE,TRUE
10,UNFCCC_SL_R_FL,20,1,TRUE,TRUE
11,UNFCCC_OL_R_FL,20,1,TRUE,TRUE
12,UNFCCC_FL_R_CL,20,2,FALSE,TRUE
13,UNFCCC_FL_R_GL,20,3,FALSE,TRUE
14,UNFCCC_FL_R_WL,10,4,FALSE,TRUE
15,UNFCCC_FL_R_SL,20,5,FALSE,TRUE
16,UNFCCC_FL_R_OL,20,6,FALSE,TRUE
17,UNFCCC_UFL,-1,-1,TRUE,TRUE
18,UNFCCC_UFL_R_CL,20,2,FALSE,TRUE
19,UNFCCC_UFL_R_GL,20,3,FALSE,TRUE
20,UNFCCC_UFL_R_WL,10,4,FALSE,TRUE
21,UNFCCC_UFL_R_SL,20,5,FALSE,TRUE
22,UNFCCC_UFL_R_OL,20,6,FALSE,TRUE
23,UNFCCC_UFL_R_FL,20,1,TRUE,TRUE
24,PEATLAND,-1,-1,FALSE,FALSE
