id,pool_id,locale,Name
1,1,en-CA,Softwood Merchantable
2,2,en-CA,Softwood Foliage
3,3,en-CA,Softwood Other
4,4,en-CA,Softwood Coarse Roots
5,5,en-CA,Softwood Fine Roots
6,6,en-CA,Hardwood Merchantable
7,7,en-CA,Hardwood Foliage
8,8,en-CA,Hardwood Other
9,9,en-CA,Hardwood Coarse roots
10,10,en-CA,Hardwood Fine Roots
11,11,en-CA,Aboveground Very Fast DOM
12,12,en-CA,Belowground Very Fast DOM
13,13,en-CA,Aboveground Fast DOM
14,14,en-CA,Belowground Fast DOM
15,15,en-CA,Medium DOM
16,16,en-CA,Aboveground Slow DOM
17,17,en-CA,Belowground Slow DOM
18,18,en-CA,Softwood Stem Snag
19,19,en-CA,Softwood Branch Snag
20,20,en-CA,Hardwood Stem Snag
21,21,en-CA,Hardwood Branch Snag
22,22,en-CA,CO2
23,23,en-CA,CH4
24,24,en-CA,CO
25,25,en-CA,NO2
26,26,en-CA,Products
27,1,fr-CA,Résineux marchand
28,2,fr-CA,Résineux feuillage
29,3,fr-CA,Résineux autre
30,4,fr-CA,Résineux grosses racines
31,5,fr-CA,Résineux radicelles
32,6,fr-CA,Feuillu marchand
33,7,fr-CA,Feuillu feuillage
34,8,fr-CA,Feuillu autre
35,9,fr-CA,Feuillu grosses racines
36,10,fr-CA,Feuillu radicelles
37,11,fr-CA,MOM aérienne très rapide
38,12,fr-CA,MOM souterraine très rapide
39,13,fr-CA,MOM aérienne rapide
40,14,fr-CA,MOM souterraine rapide
41,15,fr-CA,MOM médium
42,16,fr-CA,MOM aérienne lente
43,17,fr-CA,MOM souterraine lente
44,18,fr-CA,Chicot de tige de résineux
45,19,fr-CA,Chicot de branche de résineux
46,20,fr-CA,Chicot de tige de feuillu
47,21,fr-CA,Chicot de branche de feuillu
48,22,fr-CA,CO2
49,23,fr-CA,CH4
50,24,fr-CA,CO
51,25,fr-CA,NO2
52,26,fr-CA,Produits
53,1,es-MX,Coníferas comerciables
54,2,es-MX,Follaje de coníferas
55,3,es-MX,Otras coníferas
56,4,es-MX,Raíces gruesas de coníferas
57,5,es-MX,Raíces finas de coníferas
58,6,es-MX,Caducifolios comerciables
59,7,es-MX,Follaje de caducifolios
60,8,es-MX,Otro de caducifolios
61,9,es-MX,Raíces gruesas de caducifolios
62,10,es-MX,Raíces finas de caducifolios
63,11,es-MX,MOM muy rápida superficial
64,12,es-MX,MOM muy rápida subterránea
65,13,es-MX,MOM rápida superficial
66,14,es-MX,MOM rápida subterránea
67,15,es-MX,MOM regular
68,16,es-MX,MOM superficial lenta
69,17,es-MX,MOM subterránea lenta
70,18,es-MX,Troncos muertos de coníferas
71,19,es-MX,Ramas muertas de coníferas
72,20,es-MX,Troncos muertos de caducifolios
73,21,es-MX,Ramas muertas de caducifolios
74,22,es-MX,CO2
75,23,es-MX,CH4
76,24,es-MX,CO
77,25,es-MX,NO2
78,26,es-MX,Productos
79,1,ru-RU,Товарная хвойная древесина
80,2,ru-RU,Хвоя
81,3,ru-RU,Хвойные прочее
82,4,ru-RU,Крупные корни хвойных
83,5,ru-RU,Тонкие корни хвойных
84,6,ru-RU,Деловая древесина лиственных пород
85,7,ru-RU,Листва лиственных пород
86,8,ru-RU,Другие лиственные породы
87,9,ru-RU,Крупные корни лиственных пород
88,10,ru-RU,Тонкие корни лиственных пород
89,11,ru-RU,Надземное очень быстро разлагающееся МОВ
90,12,ru-RU,Подземное очень быстро разлагающееся МОВ
91,13,ru-RU,Надземное быстро разлагающеея МОВ
92,14,ru-RU,Подземное быстро разлагающееся МОВ
93,15,ru-RU,МОВ со средней скоростью разложения
94,16,ru-RU,Надземное медленно разлагающееся МОВ
95,17,ru-RU,Подземное медленно разлагающееся МОВ
96,18,ru-RU,Валеж стволов хвойных пород
97,19,ru-RU,Валеж ветвей хвойных
98,20,ru-RU,Валеж стволов лиственных пород
99,21,ru-RU,Валеж ветвей лиственных пород
100,22,ru-RU,CO2
101,23,ru-RU,CH4
102,24,ru-RU,CO
103,25,ru-RU,NO2
104,26,ru-RU,Продукты
