composite_flux_indicator_category_id,category_name,subcategory_name
1,Изменения запаса,Всего
2,Изменения запаса,Общая биомасса
3,Изменения запаса,Всего МОВ
4,Экосистемные индикаторы,Продуктивность
5,Экосистемные индикаторы,Экосистемные индикаторы
6,Передачи в экосистеме,Экосистема в лесные-продукты
7,Передачи в экосистеме,Высвобождается в атмосферу
8,Эмиссии,Эмиссии источников
9,Эмиссии,Эмиссии газов
10,Эмиссии,Газовые эмиссии биомассы
11,Эмиссии,МОВ эмиссия в газе
12,Передача нарушения,Передача нарушения
