composite_flux_indicator_id,name
1,Delta Total Ecosystem
2,Delta Total Biomass
3,Delta Total DOM
4,Net Primary Productivity (NPP)
5,Net Ecosystem Productivity (NEP)
6,Net Growth
7,Net Litterfall
8,Total Litterfall
9,Decomposition Releases
10,Total Harvest (Biomass + Snags)
11,Total Harvest (Biomass)
12,Total Harvest (Snags)
13,Softwood Harvest (Biomass)
14,Hardwood Harvest (Biomass)
15,Softwood Harvest (Snags)
16,Hardwood Harvest (Snags)
17,Deadwood
18,Litter
19,Soil C
20,Aboveground Very Fast DOM
21,Belowground Very Fast DOM
22,Aboveground Fast DOM
23,Belowground Fast DOM
24,Medium DOM
25,Aboveground Slow DOM
26,Belowground Slow DOM
27,Softwood Stem Snag
28,Softwood Branch Snag
29,Hardwood Stem Snag
30,Hardwood Branch Snag
31,Total
32,Total Biomass
33,Total DOM
34,Total CO2
35,Total CO
36,Total CH4
37,Bio CO2
38,Bio CO
39,Bio CH4
40,DOM CO2
41,DOM CO
42,DOM CH4
43,Disturbance Losses
44,Bio To Soil from Disturbances
45,Net Biome Productivity (NBP)
