id,composite_flux_indicator_id,locale_id,name
1,1,1,Delta Total Ecosystem
2,2,1,Delta Total Biomass
3,3,1,Delta Total DOM
4,4,1,Net Primary Productivity (NPP)
5,5,1,Net Ecosystem Productivity (NEP)
6,6,1,Net Growth
7,7,1,Net Litterfall
8,8,1,Total Litterfall
9,9,1,Decomposition Releases
10,10,1,Total Harvest (Biomass + Snags)
11,11,1,Total Harvest (Biomass)
12,12,1,Total Harvest (Snags)
13,13,1,Softwood Harvest (Biomass)
14,14,1,Hardwood Harvest (Biomass)
15,15,1,Softwood Harvest (Snags)
16,16,1,Hardwood Harvest (Snags)
17,17,1,Deadwood
18,18,1,Litter
19,19,1,Soil C
20,20,1,Aboveground Very Fast DOM
21,21,1,Belowground Very Fast DOM
22,22,1,Aboveground Fast DOM
23,23,1,Belowground Fast DOM
24,24,1,Medium DOM
25,25,1,Aboveground Slow DOM
26,26,1,Belowground Slow DOM
27,27,1,Softwood Stem Snag
28,28,1,Softwood Branch Snag
29,29,1,Hardwood Stem Snag
30,30,1,Hardwood Branch Snag
31,31,1,Total
32,32,1,Total Biomass
33,33,1,Total DOM
34,34,1,Total CO2
35,35,1,Total CO
36,36,1,Total CH4
37,37,1,Bio CO2
38,38,1,Bio CO
39,39,1,Bio CH4
40,40,1,DOM CO2
41,41,1,DOM CO
42,42,1,DOM CH4
43,43,1,Disturbance Losses
44,44,1,Bio To Soil from Disturbances
45,45,1,Net Biome Productivity (NBP)
46,1,2,Delta écosystème total
47,2,2,Delta biomasse totale
48,3,2,Delta MOM totale
49,4,2,Productivité primaire nette (PPN)
50,5,2,Productivité écosystémique nette (PEN)
51,6,2,Croissance nette
52,7,2,Chute de litière nette
53,8,2,Chute de litière totale
54,9,2,Rejets de décomposition
55,10,2,Récolte totale (biomasse + chicots)
56,11,2,Récolte totale (biomasse)
57,12,2,Récolte totale (chicots)
58,13,2,Récolte de résineux (biomasse)
59,14,2,Récolte de feuillus (biomasse)
60,15,2,Récolte de résineux (chicots)
61,16,2,Récolte de feuillus (chicots)
62,17,2,Bois mort
63,18,2,Litière
64,19,2,C du sol
65,20,2,MOM aérienne très rapide
66,21,2,MOM souterraine très rapide
67,22,2,MOM aérienne rapide
68,23,2,MOM souterraine rapide
69,24,2,MOM médium
70,25,2,MOM aérienne lente
71,26,2,MOM souterraine lente
72,27,2,Chicot de tige de résineux
73,28,2,Chicot de branche de résineux
74,29,2,Chicot de tige de feuillu
75,30,2,Chicot de branche de feuillu
76,31,2,Totales
77,32,2,Biomasse totale
78,33,2,MOM totale
79,34,2,CO2 total
80,35,2,CO total
81,36,2,CH4 total
82,37,2,CO2 bio
83,38,2,CO bio
84,39,2,CH4 bio
85,40,2,CO2 MOM
86,41,2,CO MOM
87,42,2,CH4 MOM
88,43,2,Pertes dues aux perturbations
89,44,2,Bio à sol dû aux perturbations
90,45,2,Productivité du biome nette (PBN)
91,1,4,Дельта всей экосистемы
92,2,4,Дельта общей биомассы
93,3,4,Дельта общего МОВ
94,4,4,Чистая первичная продуктивность (ЧПП)
95,5,4,Чистая продуктивность экосистемы (ЧПЭ)
96,6,4,Чистый рост
97,7,4,Чистый опад
98,8,4,Всего опада
99,9,4,Выбросы от разложения
100,10,4,Общий урожай (биомасса + валеж)
101,11,4,Общий урожай (биомасса)
102,12,4,Общий урожай (валеж)
103,13,4,Урожай хвойных (биомасса)
104,14,4,Урожай лиственных (биомасса)
105,15,4,Урожай хвойных (валеж)
106,16,4,Урожай лиственных (валеж)
107,17,4,Сухостой
108,18,4,Опад
109,19,4,Почвенный C
110,20,4,Надземное очень быстро разлагающееся МОВ
111,21,4,Подземное очень быстро разлагающееся МОВ
112,22,4,Надземное быстро разлагающееся МОВ
113,23,4,Подземное быстро разлагающееся МОВ
114,24,4,МОВ со средней скоростью разложения
115,25,4,Надземное медленно разлагающееся МОВ
116,26,4,Подземное медленно разлагающееся МОВ
117,27,4,Валеж хвойных пород
118,28,4,Валеж ветвей хвойных
119,29,4,Валеж лиственных пород:
120,30,4,Валеж ветвей лиственных
121,31,4,Всего
122,32,4,Всего биомассы
123,33,4,Всего МОВ
124,34,4,Всего CO2
125,35,4,Всего CO
126,36,4,Всего CH4
127,37,4,Био CO2
128,38,4,Био CO
129,39,4,Био CH4
130,40,4,МОВ CO2
131,41,4,МОВ CO
132,42,4,МОВ CH4
133,43,4,Ущербы нарушения
134,44,4,Био в почву через нарушения
135,45,4,Чистая продуктивность биома (ЧПБ)
136,1,3,Cambio total en ecosistema
137,2,3,Cambio total en biomasa
138,3,3,Cambio total en MOM
139,4,3,Productividad primaria neta (PPN)
140,5,3,Productividad neta del ecosistema (PNE)
141,6,3,Crecimiento neto
142,7,3,Hojarasca neta
143,8,3,Hojarasca total
144,9,3,Emisiones de descomposición
145,10,3,Explotación total (biomasa + árboles muertos)
