id,flux_indicator_id,pool_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,2,1
23,2,2
24,2,3
25,2,4
26,2,5
27,2,6
28,2,7
29,2,8
30,2,9
31,2,10
32,2,11
33,2,12
34,2,13
35,2,14
36,2,15
37,2,16
38,2,17
39,2,18
40,2,19
41,2,20
42,2,21
43,3,1
44,3,2
45,3,3
46,3,4
47,3,5
48,3,6
49,3,7
50,3,8
51,3,9
52,3,10
53,3,11
54,3,12
55,3,13
56,3,14
57,3,15
58,3,16
59,3,17
60,3,18
61,3,19
62,3,20
63,3,21
64,4,1
65,4,2
66,4,3
67,4,4
68,4,5
69,4,6
70,4,7
71,4,8
72,4,9
73,4,10
74,5,1
75,5,2
76,5,3
77,5,4
78,5,5
79,5,6
80,5,7
81,5,8
82,5,9
83,5,10
84,6,1
85,6,2
86,6,3
87,6,4
88,6,5
89,6,6
90,6,7
91,6,8
92,6,9
93,6,10
94,7,11
95,7,12
96,7,13
97,7,14
98,7,15
99,7,16
100,7,17
101,7,18
102,7,19
103,7,20
104,7,21
105,8,1
106,8,2
107,8,3
108,8,4
109,8,5
110,9,6
111,9,7
112,9,8
113,9,9
114,9,10
115,10,11
116,10,12
117,10,13
118,10,14
119,10,15
120,10,16
121,10,17
122,10,18
123,10,19
124,10,20
125,10,21
126,11,0
127,12,0
128,13,1
129,13,6
130,14,2
131,14,7
132,15,3
133,15,8
134,16,4
135,16,9
136,17,5
137,17,10
138,18,11
139,19,12
140,20,13
141,21,14
142,22,15
143,23,16
144,24,17
145,25,18
146,26,19
147,27,20
148,28,21
149,29,1
150,29,6
151,30,2
152,30,7
153,31,3
154,31,8
155,32,4
156,32,9
157,33,5
158,33,10
159,34,11
160,34,12
161,34,13
162,34,14
163,34,15
164,34,16
165,34,17
166,34,18
167,34,19
168,34,20
169,34,21
170,35,11
171,35,12
172,35,13
173,35,14
174,35,15
175,35,16
176,35,17
177,35,18
178,35,19
179,35,20
180,35,21
181,36,11
182,36,12
183,36,13
184,36,14
185,36,15
186,36,16
187,36,17
188,36,18
189,36,19
190,36,20
191,36,21
192,37,1
193,37,6
194,38,2
195,38,7
196,39,3
197,39,8
198,40,4
199,40,9
200,41,5
201,41,10
202,42,11
203,43,12
204,44,13
205,45,14
206,46,15
207,47,16
208,48,17
209,49,18
210,50,19
211,51,20
212,52,21
