landclass_id,description
0,"Лесные угодья, которые остаются лесными угодьями"
1,Остающиеся пахотные земли
2,Остающиеся пастбища
3,Остающиеся заболоченные территории.
4,Остающиеся поселения
5,Прочее остающееся
6,"Пахотные земли, превращенные в лесные угодья"
7,"Пастбища, превращенные в лесные угодья"
8,"Заболоченные территории, превращенные в лесные угодья"
9,"Поселения, превращенные в лесные угодья"
10,"Прочее, превращенное в лесные угодья"
11,"Лесные угодья, превращенные в пахотные земли"
12,"Лесные угодья, превращенные в пастбища"
13,"Лесные угодья, превращенные в заболоченные территории"
14,"Лесные угодья, превращенные в поселения"
15,"Лесные угодья, превращенные в иное"
16,Неуправляемые лесные угодья
17,"Неуправляемые лесные угодья, превращенные в пахотные земли"
18,"Неуправляемые лесные угодья, превращенные в пастбища"
19,"Неуправляемые лесные угодья, превращенные в заболоченные территории"
20,"Неуправляемые лесные угодья, превращенные в поселения"
21,"Неуправляемые лесные угодья, превращенные в другое"
22,"Неуправляемые лесные угодья, превращенные в управляемый лес"
23,Peatland
