id,pool_id,locale_id,name
53,1,3,Coníferas comerciables
54,2,3,Follaje de coníferas
55,3,3,Otras coníferas
56,4,3,Raíces gruesas de coníferas
57,5,3,Raíces finas de coníferas
58,6,3,Caducifolios comerciables
59,7,3,Follaje de caducifolios
60,8,3,Otro de caducifolios
61,9,3,Raíces gruesas de caducifolios
62,10,3,Raíces finas de caducifolios
63,11,3,MOM muy rápida superficial
64,12,3,MOM muy rápida subterránea
65,13,3,MOM rápida superficial
66,14,3,MOM rápida subterránea
67,15,3,MOM regular
68,16,3,MOM superficial lenta
69,17,3,MOM subterránea lenta
70,18,3,Troncos muertos de coníferas
71,19,3,Ramas muertas de coníferas
72,20,3,Troncos muertos de caducifolios
73,21,3,Ramas muertas de caducifolios
74,22,3,CO2
75,23,3,CH4
76,24,3,CO
77,25,3,NO2
78,26,3,Productos
