pool_id,locale_id,name
1,4,Товарная хвойная древесина
2,4,Хвоя
3,4,Хвойные прочее
4,4,Крупные корни хвойных
5,4,Тонкие корни хвойных
6,4,Деловая древесина лиственных пород
7,4,Листва лиственных пород
8,4,Другие лиственные породы
9,4,Крупные корни лиственных пород
10,4,Тонкие корни лиственных пород
11,4,Надземное очень быстро разлагающееся МОВ
12,4,Подземное очень быстро разлагающееся МОВ
13,4,Надземное быстро разлагающеея МОВ
14,4,Подземное быстро разлагающееся МОВ
15,4,МОВ со средней скоростью разложения
16,4,Надземное медленно разлагающееся МОВ
17,4,Подземное медленно разлагающееся МОВ
18,4,Валеж стволов хвойных пород
19,4,Валеж ветвей хвойных
20,4,Валеж стволов лиственных пород
21,4,Валеж ветвей лиственных пород
22,4,CO2
23,4,CH4
24,4,CO
25,4,NO2
26,4,Продукты
